ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,Total_Miembros_Hogar,Factor_Expansion_Anual,Ingreso_Neto_Total_Hogar,Gasto_Total_Bruto_Hogar,Brecha_Monetaria_Hogar,Ingreso_Monetario_Per_Capita,Gasto_Monetario_Per_Capita,Brecha_Monetaria_Per_Capita,Logaritmo_Ingreso_Hogar,Logaritmo_Gasto_Hogar,Logaritmo_Brecha_Per_Capita,Gasto_Alimentos,Gasto_Vestido_Calzado,Gasto_Vivienda_Combustible_Electricidad,Gasto_Muebles_Enseres_Mantenimiento,Gasto_Salud_Servicios_Medicos,Gasto_Transportes_Comunicaciones,Gasto_Esparcimiento_Cultura_Ensenanza,Gasto_Otros_Bienes_Servicios,Porcentaje_Gasto_Alimentos,Porcentaje_Gasto_Vestido_Calzado,Porcentaje_Gasto_Vivienda_Combustible_Electricidad,Porcentaje_Gasto_Muebles_Enseres_Mantenimiento,Porcentaje_Gasto_Salud_Servicios_Medicos,Porcentaje_Gasto_Transportes_Comunicaciones,Porcentaje_Gasto_Esparcimiento_Cultura_Ensenanza,Porcentaje_Gasto_Otros_Bienes_Servicios,Tasa_Ahorro_Hogar,ID_SEGMENTO,PCA_VALIDO
27734,289,10,1,1,67.746727,45730.089844,10642.425781,35087.664062,45730.089844,10642.425781,35087.664062,10.730534,9.272698,10.465633,2489.950928,81.952530,3217.447266,294.186279,0.000000,623.000000,0.000000,220.634048,0.359400,0.011800,0.464500,0.042500,0.000000,0.089900,0.000000,0.031900,0.767277,1,1
27735,289,10,3,1,67.746727,19645.751953,26013.378906,-6367.626953,19645.751953,26013.378906,-6367.626953,9.885667,10.166405,0.000000,10373.507812,0.000000,1461.643188,1137.404053,1114.000000,551.000000,894.689880,1851.094116,0.596800,0.000000,0.084100,0.065400,0.064100,0.031700,0.051500,0.106500,-0.324122,4,1
27736,289,10,1,3,67.746727,55449.062500,50636.019531,4813.042969,18483.020833,16878.673177,1604.347656,10.923238,10.832438,7.381096,4925.672852,0.000000,3138.000000,1485.929199,2097.000000,8099.262695,661.195557,4099.085938,0.201000,0.000000,0.128000,0.060600,0.085600,0.330500,0.027000,0.167300,0.086801,2,1
27737,289,10,1,7,67.746727,77125.664062,27947.048828,49178.615234,11017.952009,3992.435547,7025.516462,11.253204,10.238103,8.857446,21821.109375,2931.277832,10236.000000,1974.481079,1306.000000,4400.226074,4504.575684,983.337402,0.453100,0.060900,0.212600,0.041000,0.027100,0.091400,0.093500,0.020400,0.637643,1,1
27738,289,10,2,6,90.328964,61756.000000,33053.781250,28702.218750,10292.666667,5508.963542,4783.703125,11.030963,10.405922,8.473179,13790.824219,785.658447,1572.000000,955.629456,1324.000000,1091.000000,2602.000000,576.060181,0.607600,0.034600,0.069300,0.042100,0.058300,0.048100,0.114600,0.025400,0.464768,1,1
27739,289,10,2,3,90.328964,24115.738281,20694.019531,3421.718750,8038.579427,6898.006510,1140.572917,10.090661,9.937648,7.040162,6741.842773,239.953690,1499.000000,534.550537,419.000000,876.000000,2310.966309,1362.214111,0.482100,0.017200,0.107200,0.038200,0.030000,0.062600,0.165300,0.097400,0.141887,2,1
27740,289,10,5,5,90.328964,36431.656250,20370.851562,16060.804688,7286.331250,4074.170312,3212.160937,10.503221,9.921909,8.075010,6858.722168,488.802002,2540.505127,624.038330,120.000000,1079.000000,778.000000,1007.001709,0.508200,0.036200,0.188200,0.046200,0.008900,0.079900,0.057600,0.074600,0.440848,1,1
27741,289,10,1,3,90.328964,80927.429688,51798.906250,29128.523438,26975.809896,17266.302083,9709.507812,11.301320,10.855144,9.180964,19347.914062,456.535583,4215.000000,534.240112,63.000000,3226.000000,8203.283203,968.536011,0.522700,0.012300,0.113900,0.014400,0.001700,0.087200,0.221600,0.026200,0.359934,1,1
27742,289,10,3,1,90.328964,5254.638672,16132.047852,-10877.409180,5254.638672,16132.047852,-10877.409180,8.567057,9.688625,0.000000,2438.083984,207.033707,1169.000000,956.611938,5144.000000,479.000000,0.000000,307.331696,0.227800,0.019300,0.109200,0.089400,0.480700,0.044800,0.000000,0.028700,-2.070058,4,1
27743,287,10,1,4,13.192159,57910.207031,39152.851562,18757.355469,14477.551758,9788.212891,4689.338867,10.966666,10.575254,8.453260,13445.063477,142.317551,3844.920654,1800.906738,1136.000000,1955.087769,1970.769531,2035.990479,0.510600,0.005400,0.146000,0.068400,0.043100,0.074300,0.074800,0.077300,0.323904,1,1
