Componente,Varianza_Explicada_Pct,Varianza_Acumulada_Pct
PC1,22.8077,22.8077
PC2,16.4500,39.2577
PC3,14.1007,53.3584
PC4,13.1578,66.5162
PC5,11.9747,78.4909
PC6,10.9913,89.4822
PC7,10.4388,99.9210
PC8,0.0790,100.0000
